"ID,""Descricao"",""ID_OCUPA_N"""
"232,""CRONOMETRISTA"",""391110"""
"233,""CONTROLADOR DE ENTRADA E SAIDA"",""391115"""
"234,""PLANEJISTA"",""391120"""
"235,""TECNICO DE PLANEJAMENTO DE PRODUCAO"",""391125"""
"236,""TECNICO DE PLANEJAMENTO E PROGRAMACAO DA MANUTENCA"",""391130"""
"237,""TECNICO DE MATERIA-PRIMA E MATERIAL"",""391135"""
"238,""INSPETOR DE QUALIDADE"",""391205"""
"239,""TECNICO DE GARANTIA DA QUALIDADE"",""391210"""
"240,""OPERADOR DE INSPECAO DE QUALIDADE"",""391215"""
"241,""TECNICO DE PAINEL DE CONTROLE"",""391220"""
"242,""ESCOLHEDOR DE PAPEL"",""391225"""
"243,""TECNICO OPERACIONAL DE SERVICOS DE CORREIOS"",""391230"""
"244,""TECNICO DE APOIO EM PESQUISA E DESENVOLVIMENTO (EX"",""395105"""
"245,""TECNICO DE APOIO EM PESQUISA E DESENVOLVIMENTO AGR"",""395110"""
"246,""SUPERVISOR ADMINISTRATIVO"",""410105"""
"247,""SUPERVISOR DE ALMOXARIFADO"",""410205"""
"248,""SUPERVISOR DE CAMBIO"",""410210"""
"249,""SUPERVISOR DE CONTAS A PAGAR"",""410215"""
"250,""SUPERVISOR DE CONTROLE PATRIMONIAL"",""410220"""
"251,""SUPERVISOR DE CREDITO E COBRANCA"",""410225"""
"252,""SUPERVISOR DE ORCAMENTO"",""410230"""
"253,""SUPERVISOR DE TESOURARIA"",""410235"""
"254,""AUXILIAR DE ESCRITORIO, EM GERAL"",""411005"""
"255,""ASSISTENTE ADMINISTRATIVO"",""411010"""
"256,""ATENDENTE DE JUDICIARIO"",""411015"""
"257,""AUXILIAR DE JUDICIARIO"",""411020"""
"258,""AUXILIAR DE CARTORIO"",""411025"""
"259,""AUXILIAR DE PESSOAL"",""411030"""
"260,""AUXILIAR DE ESTATISTICA"",""411035"""
"261,""AUXILIAR DE SEGUROS"",""411040"""
